Terms,Definition 1,Citation 1,Definition 2,Citation 2,Definition 3,Citation 3,Definition 4,Citation 4,Definition 5,Citation 5,Related terms and synonyms,Legal definition applicable
algorithm,"A set of computational rules to be followed to solve a mathematical problem. More recently, the term has been adopted to refer to a process to be followed, often by a computer.",Comptroller_Office,,,,,precise rules for transforming specified inputs into specified outputs in a finite number of steps,knuth_art_1981,"algorithms are step-by-step procedures for solving problems. For concreteness, we can think of them simply as being computed programs, written in some precise computer languages",garey_computers_1979,,
algorithmic aversion,biased assessment of an algorithm which manifests in negative behaviours and attitudes towards the algorithm compared to a human agent.,Ekaterina_et_al_2020,,,,,,,,,,
alignment,"ensur[ing] that powerful AI is properly aligned with human values. ... The challenge of alignment has two parts. The first part is technical and focuses on how to formally encode values or principles in artificial agents so that they reliably do what they ought to do. ... The second part of the value alignment question is normative. It asks what values or principles, if any, we ought to encode in artificial agents.",Gabriel_2020,,,,,,,,,,
amplification,"[an act of amplifying, which is] to make larger or greater (as in amount, importance, or intensity).",Merriam-Webster_amplify,"Let [construct space] 𝑌 ′ and [prediction space] 𝑌ˆ be categorical.
Then, a model exhibits disparity amplification if
𝑑tv (𝑌ˆ |𝑍=0,𝑌ˆ |𝑍=1) > 𝑑tv (𝑌 ′ |𝑍=0,𝑌 ′ |𝑍=1). dtv is the total variation distance defined as follows. Let 𝑌0 and 𝑌1 becategorical random variables with finite supports Y0 and Y1. Then,the total variation distance between 𝑌0 and 𝑌1 is𝑑tv (𝑌0,𝑌1) =12Σ︁𝑦∈Y0∪Y1  Pr[𝑌0=𝑦] − Pr[𝑌1=𝑦]  .In the special case where 𝑌0,𝑌1 ∈ {0, 1}, the total variation distancecan also be expressed as | Pr[𝑌0=1] − Pr[𝑌1=1] |.",yeom_avoiding_2021,,,,,,,,
analytics,"Analytics is the application of scientific & mathematical methods to the study & analysis of problems involving complex systems. There are three distinct types of analytics:
* Descriptive Analytics gives insight into past events, using historical data. 
* Predictive Analytics provides insight on what will happen in the future.
* Prescriptive Analytics helps with decision making by providing actionable advice.",informs_analytics_2022,,,,,,,,,,
annotation,Further documentation accompanying a requirement.,IEEE_Soft_Vocab,[the act of] mak[ing] or furnish[ing] critical or explanatory notes or comment,Merriam-Webster_annotate,,,,,,,,
anomaly,"Anything observed in the documentation or operation of a system that deviates from expectations based on  previously verified system, software, or hardware products or reference documents.",IEEE_Soft_Vocab,"Condition that deviates from expectations, based on requirements specifications, design documents, user documents, or standards, or from someone's perceptions or experiences.",SP800-160,,,,,,,,
anonymization,"The process in which individually identifiable data is altered in such a way that it no longer can be related back to a given individual. Among many techniques, there are three primary ways that data is anonymized. Suppression is the most basic version of anonymization and it simply removes some identifying values from data to reduce its identifiability. Generalization takes specific identifying values and makes them broader, such as changing a specific age (18) to an age range (18-24). Noise addition takes identifying values from a given data set and switches them with identifying values from another individual in that data set. Note that all of these processes will not guarantee that data is no longer identifiable and have to be performed in such a way that does not harm the usability of the data.",IAPP_Privacy_Glossary,process that removes the association between the identifying dataset and the data subject,CSRC,,,,,,,,
anthropomorphism,"the attribution of distinctively human-like feelings, mental states, and behavioral characteristics to inanimate objects, animals, and in general to natural phenomena and supernatural entities",Anthropomorphism_in_AI_2020,a particular human-like interpretation of existing physical features and behaviors that goes beyond what is directly observable,Anthropomorphism_in_AI_2020,,,,,,,,
application,A software program hosted by an information system.,SP800-37,A hardware/software system implemented to satisfy a particular set of requirements.,CSRC,"software or a program that is specific tothe solution of an application problem",aime_measurement_2022 citing ISO/IEC TR 24030,,,,,,
application programming interface (API),"a software contract between the application and client, expressed as a collection of methods or functions. . . it defines the available functions you can execute; . . . the intermediary interface between the client and the application.",Hands-On_Smart_Contract_Dev,,,,,,,,,,
artificial intelligence (AI) system,"an engineered or machine-based system that can, for a given set of objectives, generate outputs such as predictions, recommendations, or decisions influencing real or virtual environments. AI systems are designed to operate with varying levels of autonomy","NIST AI RMF (Adapted from: OECD Recommendation
on AI:2019; ISO/IEC 22989:2022).",,,,,,,,,,
artificial intelligence learning,"The ingestion of a corpus, application of semantic mapping, and relevant ontology of structured and/or unstructured data that yields inference and correlation leading to the creation of useful conclusive or predictive capabilities in a given knowledge domain. Strong AI learning also includes the capability of creating unique hypotheses, attributing data relevance, processing data relationships, and updating its own lines of inquiry to further the usefulness of its purpose. ",IEEE_Guide_IPA,,,,,,,,,,
artificial narrow intelligence (ANI),[an AI system that] is designed to accomplish a specific problem-solving or reasoning task.,OECD_Artificial_Intelligence_in_Society,,,,,,,,,weak intelligence; applied intelligence,
artificial neural networks,"A computing system, made up of a number of simple, highly interconnected processing elements, which processes information by its dynamic state response to external inputs.","Reznik,_Leon","Definition 1. A directed graph is called an Artificial Neural Network (ANN) if it has x at least one start node (or Start Element; SE), x at least one end node (or End Element; EE), x at least one Processing Element (PE), x all the nodes used must be Processing Elements (PEs), except start nodes and end nodes, x a state variable ni associated with each node i, x a real valued weight wki associated with each link (ki) from node k to node i, x a real valued bias bi associated with each node i, x at least two of the multiple PEs connected in parallel, x a learning algorithm that helps to model the desired output for given input. x a flow on each link (ki) from node k to node i, that carries exactly the same flow which equals to nk caused by the output of node k , x each start node is connected to at least one end node, and each end node is connected to at least one start node, x no parallel edges (each link (ki) from node k to node i is unique).",,,,,,,,,
assessment,"Action of applying specific documented criteria to a specific software module, package or product for the purpose of determining acceptance or release of the software module, package or product.",IEEE_Soft_Vocab,the action or an instance of making a judgment about something : the act of assessing something : APPRAISAL,Merriam-Webster_assessment,,,,,,,,
attack,Action targeting a learning system to cause malfunction. ,NISTIR_8269_Draft,"Any kind of malicious activity that attempts to collect, disrupt, deny, degrade, or destroy information system resources or the information itself.",CSRC,,,,,,,,
attribute,Property associated with a a set of real or abstract things that is some characteristic of interest.  ,IEEE_Soft_Vocab,property or characteristic of an object that can be distinguished quantitatively or qualitatively by human or automated means,"aime_measurement_2022, citing ISO/IEC TR 24029-1",,,,,,,,
audit,"Systematic, independent, documented process for obtaining records, statements of fact, or other relevant information and assessing them objectively, to determine the extent to which specified requirements are fulfilled.",IEEE_Soft_Vocab,"To conduct an independent review and examination of system records and activities in order to test the adequacy and effectiveness of data security and data integrity procedures, to ensure compliance with established policy and operational procedures, and to recommend any necessary changes.",FDA_Glossary,"Independent examination of a software product, software process, or set of software processes to assess compliance with specifications, standards, contractual agreements, or other criteria",NASA_Soft_Standards,"Independent review conducted to compare the various aspects of the laboratory’s performance with a standard for that performance. Also defined as a systematic, independent and documented process for obtaining audit evidence and evaluating it objectively to determine the extent to which audit criteria are fulfilled.",UNODC_Glossary_QA_GLP,,,,
audit log,"A chronological record of system activities, including records of system accesses and operations performed in a given period. ",SP800-37,,,,,,,,,,
authenticity,property that an entity is what it claims to be,ISO/IEC_TS_5723:2022(en),,,,,,,,,,
automation,Independent machine-managed choreography of the operation of one or more digital systems.,IEEE_Guide_IPA,"conversion of processes or equipment to automatic operation, or the results of the conversion",IEEE_Soft_Vocab,"The system functions with no/little human operator involvement; however, the system performance is limited to the specific actions it has been designed to do. Typically these are well-defined tasks that have predetermined responses (i.e., simple rule-based responses).",DOD_TEVV,,,,,,
automation bias,over-relying on the outputs of AI systems,David_Leslie_Morgan_Briggs,,,,,,,,,,
autonomic,"A monitor-analyze-plan-execute (MAPE) computer system capable of sensing environments, interpreting policy, accessing knowledge (data --- information --- knowledge), making decisions, and initiating dynamically assembled routines of choreographed activity to both complete a process and update the set of environmental variables that enables the autonomic system to self-manage its own operation and the processes it oversees. An autonomic system is identified by eight characteristics:

a)        Knows the resources to which it has access, what its capabilities and limitations are, and how and why it is connected to other systems.
b)        Is able to configure and reconfigure itself depending on the changing computing environment.
c)        Is able to optimize its performance to ensure the most efficient computing process.
d)        Is able to work around encountered problems either by repairing itself or routing functions away from
the trouble.
e)        Is able to detect, identify, and protect itself against various types of attacks to maintain overall system
security and integrity.
f)        Is able to adapt to its environment as it changes by interacting with neighboring systems and establishing communication protocols.
g)        Relies on open standards and requires access to proprietary environments to achieve full performance.
h)        Is able to anticipate the demand on its resources transparently to users.
 ",IEEE_Guide_IPA,,,,,,,,,,
autonomous vehicle,"[an] automobile, bus, tractor, combine, boat, forklift, etc. . . . capable of sensing its environment and moving safely with little or no human input.",Introduction_to_Information_Systems,,,,,,,,,,
autonomy,"A system’s level of independence from human involvement and ability to operate without human intervention. [Different AI systems have different levels of autonomy.]
An autonomous system has a set of learning, adaptive and analytical capabilities to respond to situations that were not pre-programmed or anticipated (i.e., decision-based responses) prior to system deployment. Autonomous or semi-autonomous AI systems can be characterised as ""human-in-the-loop"", ""human-on-the-loop"", or ""human-out-of-the loop"" systems depending on their level of meaningful involvement of human beings. ",TTC6_Taxonomy_Terminology,,,,,,,,,,
availability,Ensuring timely and reliable access to and use of information.,SP800-37,The property that data or information is accessible and usable upon demand by an authorized person.,NIST_SP_800,property of being accessible and usable on demand by an authorized entity,ISO/IEC_TS_5723:2022(en),,,,,,
back-testing,"A form of outcomes analysis that involves the comparison of actual outcomes with modeled forecasts during a development sample time period (in-sample back-testing) and during a sample period not used in model development (out-of-time back-testing), and at an observation frequency that matches the forecast horizon or performance window of the model.",Comptroller_Office,,,,,,,,,,
batched automation,Process automation execution of intentionally segregated work processes that are able to be processed irrespective of their contextual placement within a service.,IEEE_Guide_IPA,,,,,,,,,,
benchmark,"Standard against which results can be measured or assessed; Procedure, problem, or test that can be used to compare systems or components to each other or to a standard.",IEEE_Soft_Vocab,An alternative prediction or approach used to compare a model’s inputs and outputs to estimates from alternative internal or external data or models.,Comptroller_Office,"The term benchmarking is used in machine learning (ML) to refer to the evaluationand comparison of ML methods regarding their ability to learn patterns in ‘benchmark’datasets that have been applied as ‘standards’. Benchmarking could be thought of simplyas a sanity check to confirm that a new method successfully runs as expected and canreliably find simple patterns that existing methods are known to identify.",olson_pmlb_2017,,,,,,
bias,"A systematic error. In the context of fairness, we are concerned with unwanted bias that places privileged groups at systematic advantage and unprivileged groups at systematic disadvantage.",AI_Fairness_360,"(computational bias) An effect which deprives a statistical result of representativeness by systematically distorting it, as distinct from a random error which may distort on any one occasion but balances out on the average.",OECD,"(systemic bias) systematic difference in treatment of certain objects, people or groups in comparison to others",measurement_iso22989_2022,"(mathematical) A point estimator \theta_hat is said to be an unbiased estimator fo \theta if E(\theta_hat) = \theta for every possible value of \theta. If \theta_hat is not unbiased, the difference E(\theta_hat) - \theta is called the bias of \theta",devore_probability_2004,,,,
bias mitigation algorithm,A procedure for reducing unwanted bias in training data or models.,AI_Fairness_360,,,,,,,,,,
bias testing,"As it relates to disparate impact, courts and regulators have utilized or considered as acceptable various statistical tests to evaluate evidence of disparate impact. Traditional methods of statistical bias testing look at differences in predictions across protected classes, such as race or sex. In particular, courts have looked to statistical significance testing to assess whether the challenged practice likely caused the disparity and was not the result of chance or a nondiscriminatory factor.",SP1270,,,,,,,,,,
big data,"consists of extensive datasets primarily in the characteristics of volume, variety, velocity, and/or variabilitythat require a scalable architecture for efficient storage, manipulation, and analysis",NIST_1500,,,,,,,,,,
binning,"a technique of lumping small ranges of values together into categories, or ""bins,"" for the purpose of reducing the variability (removing some of the fine structure) in a data set.","Pyle,_Dorian_Data_Preparation_as_a_Process",,,,,,,,,,
biometric data,"personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, which allow or confirm the unique identification of that natural person, such as facial images or dactyloscopic data;",GDPR,"an individual’s physiological, biological, or behavioral characteristics, including information pertaining to an individual’s deoxyribonucleic acid (DNA), that is used or is intended to be used singly or in combination with each other or with other identifying data, to establish individual identity. Biometric information includes, but is not limited to, imagery of the iris, retina, fingerprint, face, hand, palm, vein patterns, and voice recordings, from which an identifier template, such as a faceprint, a minutiae template, or a voiceprint, can be extracted, and keystroke patterns or rhythms, gait patterns or rhythms, and sleep, health, or exercise data that contain identifying information.",CCPA,"A measurable physical characteristic or personal behavioral trait used to recognize the identity, or verify the claimed identity, of an applicant. Facial images, fingerprints, and iris scan samples are all examples of biometrics.",SP800-12,,,,,personal data; processing,
boosting ,"A machine learning technique that iteratively combines a set of simple and not very accurate classifiers (referred to as ""weak"" classifiers) into a classifier with high accuracy (a ""strong"" classifier) by upweighting the examples that the model is currently misclassifying","aime_measurement_2022, citing Machine Learning Glossary by Google",,,,,,,,,,
breach,"The loss of control, compromise, unauthorized disclosure, unauthorized acquisition, or any similar occurrence where: a person other than an authorized user accesses or potentially accesses personally identifiable information; or an authorized user accesses personally identifiable information for another than authorized purpose.",CSRC,,,,,,,,,,
broad artificial intelligence (broad AI),"Complex, computational, cognitive automation system capable of providing descriptive, predictive, prescriptive, and limited deductive analytics with relevance and accuracy exceeding human expertise in a broad, logically related set of knowledge domains.",IEEE_Guide_IPA,,,,,,,,,,
built-in test,"Equipment or software embedded in the operational components or systems, as opposed to external support units, which perform a test or sequence of tests to verify mechanical or electrical continuity of hardware, or the proper automatic sequencing, data processing, and readout of hardware or software systems.  ",SP1011,,,,,,,,,,
bug-bounty,"Reward given to independent security researchers, penetrations testers, and white hat hackers for discovering exploitable software vulnerabilities and sharing this knowledge with the operator of a particular bug-bounty program (BBP). ","Kuehn,_Andreas",,,,,,,,,,
business process,"A defined set of business activities that represent the steps or tasks required to achieve a business objective, including the flow and use of information, participants, and human or digital resources.",IEEE_Guide_IPA,,,,,,,,,,
business process management,"Discipline involving any combination of modeling, automation, execution, control, measurement and optimization of business activity flows, in support of enterprise goals, spanning systems, employees, customers, and partners within and beyond the enterprise boundaries.",IEEE_Guide_IPA,,,,,,,,,,
business rule,"Definition, constraint, dependency, or decision criteria that determine the method of execution of a task or tasks, or influences the order of execution of a task or tasks. Business rules assert control, or influence the behavior, of a business process within computing systems.",IEEE_Guide_IPA,,,,,,,,,,
calibration,"A comparison between a device under test and an established standard, such as UTC(NIST). When the calibration is finished, it should be possible to state the estimated time offset and/or frequency offset of the device under test with respect to the standard, as well as the measurement uncertainty.",CSRC,"operation that, under specified conditions, in a first step, establishes a relation between the quantity values with measurement uncertainties provided by measurement standards and corresponding indications with associated measurement uncertainties and, in a second step, uses this information to establish a relation for obtaining a measurement result from an indication","aime_measurement_2022, citing ISO/IEC Guide 99","Set of operations that establish, under specified conditions, the relationship between values indicated by a measuring instrument or measuring system, or values represented by a material measure, and the corresponding known values of a measurand.",UNODC_Glossary_QA_GLP,,,,,,
capability,"measure of capacity and the ability of an entity, person or organization to achieve its objectives",ISO/IEC_TS_5723:2022(en),,,,,,,,,,
case,"Single entry, single exit multiple way branch that defines a control expression, specifies the processing to be performed for each value of the control expression, and returns control in all instances to the statement immediately following the overall construct.",IEEE_Soft_Vocab,,,,,,,,,,
chatbot,"Conversational agent that dialogues with its user (for example: empathic robots available to patients, or automated conversation services in customer relations).",COE_AI_Glossary,,,,,,,,,,
choreography,"An ordered sequence of system-to-system message exchanges between two or more participants. In choreography, there is no central controller, responsible entity, or observer of the process.",IEEE_Guide_IPA,,,,,,,,,,
classification,"When the output is one of a finite set of values (such as sunny, cloudy or rainy), the learning problem is called classification, and is called Boolean or binary classification if there are only two values.",AIMA,task of assigning collected data to target categories or classes.,"aime_measurement_2022, citing ISO/IEC TR 24030",,,,,,,,
classifier,A model that predicts categorical labels from features.,AI_Fairness_360,,,,,,,,,,
clustering,Detecting potentially useful clusters of input examples.,AIMA,"The basic problem of clustering may be stated as follows: Given a set of data points, partition them into a set of groups which are as similar as possible.",aggarwal_clustering_2013,"the tendency for items to be consistently grouped together in the course of recall. This grouping typically occurs for related items. It is readily apparent in memory tasks in which items from the same category, such as nonhuman animals, are recalled together.",APA_clustering,,,,,,
cognitive automation,"The identification, assessment, and application of available machine learning algorithms for the purpose of leveraging domain knowledge and reasoning to further automate the machine learning already present in a manner that may be thought of as cognitive. With cognitive automation, the system performs corrective actions driven by knowledge of the underlying analytics tool itself, iterates its own automation approaches and algorithms for more expansive or more thorough analysis, and is thereby able to fulfill its purpose. The automation of the cognitive process refines itself and dynamically generates novel hypotheses that it can likewise assess against its existing corpus and other information resources.",IEEE_Guide_IPA,,,,,,,,,,
cognitive computing,"Complex computational systems designed to

—        Sense (perceive the world and collect data);
—        Comprehend (analyze and understand the information collected);
- Act (make informed decisions and provide guidance based on this analysis in an independent way);
and
—        Adapt (adapt capabilities based on experience) in ways comparable to the human brain.
",IEEE_Guide_IPA,,,,,,,,,,
column,"In the context of relational databases, a column is a set of data values, all of a single type, in a table.",techopedia_column_2022,,,,,,,,,,
computer vision,The digital process of perceiving and learning visual tasks in order to interpret and understand the world through cameras and sensors.,NSCAI,"An image understanding task that automatically builds a description not only of the image itself, but of the three dimensional scene that it depicts.",NBSIR_82-2582,,,,,,,,
concept drift,"Use of a system outside the planned domain of application, and a common cause of performance gaps between laboratory settings and the real world.",SP1270,an online supervised learning scenario when the relation between the input data and the target variable changes over time.,"Gama,_Joao","Systems that classify or predict a concept (e.g., credit ratings or computer intrusion monitors) over time can suffer performance loss when the concept they are tracking changes. This is referred to as concept drift. This can either be a natural process that occurs without a reference to the system, or an active process, where others are reacting to the system (e.g., virus detection).",Raynor,,,,,,
confidentiality,"Data confidentiality is a property of data, usually resulting from legislative measures, which prevents it from unauthorized disclosure. ",OECD,"Preserving authorized restrictions on information access and disclosure, including means for protecting personal privacy and proprietary information.",CSRC,The property that data or information is not made available or disclosed to unauthorized persons or processes.,NIST_SP_800,"A property that information is not disclosed to users, processes, or devices unless they have been authorized to access the information.",CISA,,,,
confusion matrix,"A matrix showing the predicted and actual classifications. A confusion matrix is of size LxL, where L is the number of different label values","Kohavi,_Ron",,,,,,,,,,
consent,"‘Consent’ of the data subject means any freely given, specific, informed and unambiguous indication of the data subject's wishes by which he or she, by a statement or by a clear affirmative action, signifies agreement to the processing of personal data relating to him or her.",GDPR,"“Consent” means any freely given, specific, informed, and unambiguous indication of the consumer’s wishes by which the consumer, or the consumer’s legal guardian, a person who has power of attorney, or a person acting as a conservator for the consumer, including by a statement or by a clear affirmative action, signifies agreement to the processing of personal information relating to the consumer for a narrowly defined particular purpose. Acceptance of a general or broad terms of use, or similar document, that contains descriptions of personal information processing along with other, unrelated information, does not constitute consent. Hovering over, muting, pausing, or closing a given piece of content does not constitute consent. Likewise, agreement obtained through use of dark patterns does not constitute consent.",CCPA,,,,,,,personal data,
constituent system,"independent system that forms part of a system of systems (SoS) (note: Constituent systems can be part of one or more SoS. Each constituent system is a useful system by itself, having its own development, management, utilization, goals, and resources, but interacts within the SoS to provide the unique capability of the SoS).",ISO/IEC_TS_5723:2022(en),,,,,,,,,,
constraint,"Specification of what may be contained in a data or metadata set in terms of the content or, for data only, in terms of the set of key combinations to which specific attributes (defined by the data structure) may be attached.",OECD,A limitation or implied requirement that constrains the design solution or implementation of the systems engineering process and is not changeable by the enterprise,IEEE_Soft_Vocab,,,,,,,,
construct validity,the degree to which the application of constructs to phenomena is warranted with respect to the  research goals and questions.,"Wieringa,_Roel_J.","Construct validation is involved whenever a test is to be interpreted as a measure of some attribute or quality which is not “operationally defined.” The problem faced by the investigator is, “What constructs account for variance in test performance?”",cronbach_construct_1955,"Established experimentally to demonstrate that a survey distinguishes between people who do and do not have certain characteristics. It is usually established experimentally.",fink_survey_2010,"Establishing construct validity means demonstrating, in a variety of ways, that the measurements obtained from measurement model are both meaningful and useful.",jacobs_measurement_2023,,,,
content validity,"Refers to the extent to which a measure thoroughly and appropriately assesses the skills or characteristics it is intended to measure.",fink_survey_2010,"the extent to which a test measures a representative sample of the subject matter or behavior under investigation. For example, if a test is designed to survey arithmetic skills at a third-grade level, content validity indicates how well it represents the range of arithmetic operations possible at that level. Modern approaches to determining content validity involve the use of exploratory factor analysis and other multivariate statistical procedures.",APA_content_validity,,,,,,,,
context,"The context is the circumstances, purpose, and perspective under which an object is defined or used. ",OECD,The immediate environment in which a function (or set of functions in a diagram) operates,IEEE_Soft_Vocab,the interrelated conditions in which something exists or occurs.,Merriam-Webster_context,,,,,,
contextual learning,"A computing system with sufficient knowledge regarding its purpose that it understands the source, relevance, and utility of data and inputs.",IEEE_Guide_IPA,,,,,,,,,,
context-of-use,"The Context of Use is the actual conditions under which a given artifact/software product is used, or will be used in a normal day to day working situation. ",interaction_context_2023,"comprises a combination of users, goals, tasks, resources, and the technical, physical and social, cultural and organizational environments in which a system, product or service is used[; ...] can include the interactions and interdependencies between the object of interest and other systems, products or services.",ISO_9241-11:2018,,,,,,,,
controllability,property of a system that allows a human or another external agent to intervene in the system’s functioning; such a system is heteronomous.,ISO/IEC_TS_5723:2022(en),,,,,,,,,,
control class,"(control group) the set of observations in an experiment or prospective study that do not receive the experimental treatment(s). These observations serve (a) as a comparison point to evaluate the magnitude and significance of each experimental treatment, (b) as a reality check to compare the current observations with previous observation history, and (c) as a source of data for establishing the natural experimental error.",nist_statistics_2012,,,,,,,,,,
controller,"‘Controller’ means the natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purposes and means of the processing of personal data; where the purposes and means of such processing are determined by Union or Member State law, the controller or the specific criteria for its nomination may be provided for by Union or Member State law;",GDPR,,,,,,,,,personal data; processor,
copilot,"An artificial intelligence powered software program designed to assist users with various tasks and automate features within compatible applications using advanced language models, machine-learning algorithms, and conversational interfaces to understand user requests and provide suggestions, summaries, and content generation in response.",,"A product or service that provides assistance using, incorporating and/or based on artificial intelligence software and artificial intelligence software services",,,,,,,,,
corpus (corpora),"A deliberately assembled collection of knowledge and data (structured and/or unstructured) believed to contain relevant information on a topic or topics to be used by software systems for which useful analysis, prediction, or outcome is being sought. ",IEEE_Guide_IPA,,,,,,,,,,
correlation,In its most general sense correlation denoted the interdependence between quantitative or qualitative data. In this sense it would include the association of dichotomised attributes and the contingency of multiply-classified attributes.,OECD,"The correlation coefficient of two random variables y_1, and y_2, denoted \rho(y_1,y_2) is: \rho(y_1, y_2) = Cov(y_1, y_2)/\sqrt{Var(y_1)*Var(y_2)}",box_statistics_2005,,,,,,,,
counterfactual explanation,"Statements taking the form: Score p was returned because variables V had values (v1, v2,...) associated with them. If V instead had values (v1', v2',...) score p' would have been returned.",wachter_counterfactual_2018,,,,,,,,,,
counterfactual fairness,"A fairnessmetric that checks whether a classifier produces the same result for one individualas it does for another individual who is identical to the first, except withrespect to one or more sensitive attributes. Evaluating a classifier for counterfactualfairness is one method for surfacing potential sources of bias in amodel","aime_measurement_2022, citing Machine Learning Glossary by Google","Given a predictive problem with fairness considerations, where A, X and Y represent the protectedattributes, remaining attributes, and output of interest respectively, let us assume that we are given acausal model (U; V; F), where V = A \cup X. We postulate the following criterion for predictors of Y .Definition 5 (Counterfactual fairness). Predictor ^Y is counterfactually fair if under any context X = x and A = a, P( ^Y_{A <- a} (U) = y | X = x; A = a) = P( ^Y_{A <- a')(U) = y | X = x;A = a); (1) for all y and for any value a' attainable by A.",kusner_counterfactual_2017,,,,,,,,
countermeasure,"Actions, devices, procedures, techniques, or other measures that reduce the vulnerability of a system. Synonymous with security controls and safeguards.",SP800-37,"Actions, devices, procedures, or techniques that meet or oppose (i.e., counters) a threat, a vulnerability, or an attack by eliminating or preventing it, by minimizing the harm it can cause, or by discovering and reporting it so that corrective action can be taken.",GWUC,,,,,,,safeguard; security control,
